GpuName,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuNumberOfComputeUnits,GpuDieSize,GpuNumberOfExecutionUnits,GpuFP32Performance,GpuMemoryBus,GpuMemorySize,GpuPixelRate,GpuProcessSize,GpuNumberOfROPs,GpuNumberOfShadingUnits,GpuNumberOfTMUs,GpuTextureRate,GpuNumberOfTransistors
b'amd radeon pro vega 64',402400.0,1250.0,1350.0,64.0,0.000495,,11060000.0,2048.0,16000.0,86400.0,14.0,64.0,4096.0,256.0,345600.0,12500.0
b'amd radeon rx 570',224000.0,1168.0,1244.0,32.0,0.000232,,5095000.0,256.0,4000.0,39810.0,14.0,32.0,2048.0,128.0,159200.0,5700.0
b'amd radeon rx 5700 xt',448000.0,1605.0,1905.0,40.0,0.000251,,9754000.0,256.0,8000.0,121900.0,7.0,64.0,2560.0,160.0,304800.0,10300.0
b'amd radeon rx 5700',448000.0,1465.0,1725.0,36.0,0.000251,,7949000.0,256.0,8000.0,110400.0,7.0,64.0,2304.0,144.0,248400.0,10300.0
b'amd radeon rx 580',256000.0,1257.0,1340.0,36.0,0.000232,,6175000.0,256.0,8000.0,42880.0,14.0,32.0,2304.0,144.0,193000.0,5700.0
b'amd radeon rx 590',256000.0,1469.0,1545.0,36.0,0.000232,,7119000.0,256.0,8000.0,49440.0,12.0,32.0,2304.0,144.0,222500.0,5700.0
b'nvidia geforce gtx 1050 3 gb',84100.0,1392.0,1518.0,,0.000132,,2332000.0,96.0,3000.0,36430.0,14.0,24.0,768.0,48.0,72860.0,3300.0
b'nvidia geforce gtx 1050 ti',112100.0,1291.0,1392.0,,0.000132,,2138000.0,128.0,4000.0,44540.0,14.0,32.0,768.0,48.0,66820.0,3300.0
b'nvidia geforce gtx 1060 5 gb',160200.0,1506.0,1709.0,,0.0002,,4375000.0,160.0,5000.0,68360.0,16.0,40.0,1280.0,80.0,136700.0,4400.0
b'nvidia geforce gtx 1060 6 gb gddr5x',192200.0,1506.0,1709.0,,0.000314,,4375000.0,192.0,6000.0,82030.0,16.0,48.0,1280.0,80.0,136700.0,7200.0
b'nvidia geforce gtx 1070 gddr5x',256300.0,1506.0,1683.0,,0.000314,,6463000.0,256.0,8000.0,107700.0,16.0,64.0,1920.0,120.0,202000.0,7200.0
b'nvidia geforce gtx 1070 ti',256300.0,1607.0,1683.0,,0.000314,,8186000.0,256.0,8000.0,107700.0,16.0,64.0,2432.0,152.0,255800.0,7200.0
b'nvidia geforce gtx 1080 11gbps',352300.0,1607.0,1733.0,,0.000314,,8873000.0,256.0,8000.0,110900.0,16.0,64.0,2560.0,160.0,277300.0,7200.0
b'nvidia geforce gtx 1080 ti',484400.0,1481.0,1582.0,,0.000471,,11340000.0,352.0,11000.0,139200.0,16.0,88.0,3584.0,224.0,354400.0,11800.0
b'nvidia geforce gtx 1660 super',336000.0,1530.0,1785.0,,0.000284,,5027000.0,192.0,6000.0,85680.0,12.0,48.0,1408.0,88.0,157100.0,6600.0
b'nvidia geforce gtx 1660 ti',288000.0,1500.0,1770.0,,0.000284,,5437000.0,192.0,6000.0,84960.0,12.0,48.0,1536.0,96.0,169900.0,6600.0
b'nvidia geforce gtx 1660',192100.0,1530.0,1785.0,,0.000284,,5027000.0,192.0,6000.0,85680.0,12.0,48.0,1408.0,88.0,157100.0,6600.0
b'nvidia geforce gtx 970',224400.0,1050.0,1178.0,,0.000398,,3920000.0,256.0,4000.0,65970.0,28.0,56.0,1664.0,104.0,122500.0,5200.0
b'nvidia geforce gtx 980 ti',336600.0,1000.0,1076.0,,0.000601,,6060000.0,384.0,6000.0,103300.0,28.0,96.0,2816.0,176.0,189400.0,8000.0
b'nvidia geforce gtx 980',224400.0,1127.0,1216.0,,0.000398,,4981000.0,256.0,4000.0,77820.0,28.0,64.0,2048.0,128.0,155600.0,5200.0
b'nvidia geforce gtx titan x',336600.0,1000.0,1089.0,,0.000601,,6691000.0,384.0,12000.0,104500.0,28.0,96.0,3072.0,192.0,209100.0,8000.0
b'nvidia geforce rtx 2060 super',448000.0,1470.0,1650.0,,0.000445,,7181000.0,256.0,8000.0,105600.0,12.0,64.0,2176.0,136.0,224400.0,10800.0
b'nvidia geforce rtx 2060',336000.0,1365.0,1680.0,,0.000445,,6451000.0,192.0,6000.0,80640.0,12.0,48.0,1920.0,120.0,201600.0,10800.0
b'nvidia geforce rtx 2070 super',448000.0,1605.0,1770.0,,0.000545,,9062000.0,256.0,8000.0,113300.0,12.0,64.0,2560.0,160.0,283200.0,13600.0
b'nvidia geforce rtx 2070',448000.0,1410.0,1620.0,,0.000445,,7465000.0,256.0,8000.0,103700.0,12.0,64.0,2304.0,144.0,233300.0,10800.0
b'nvidia geforce rtx 2080 ti',616000.0,1350.0,1545.0,,0.000754,,13450000.0,352.0,11000.0,136000.0,12.0,88.0,4352.0,272.0,420200.0,18600.0
b'nvidia geforce rtx 2080',448000.0,1515.0,1710.0,,0.000545,,10070000.0,256.0,8000.0,109400.0,12.0,64.0,2944.0,184.0,314600.0,13600.0
